amazon_product_url,author,description,publisher,title,oid,bestsellers_date.numberLong,published_date.numberLong,rank.numberInt,rank_last_week.numberInt,weeks_on_list.numberInt,price.numberDouble
http://www.amazon.com/Lost-Empire-A-Fargo-Adventure/dp/0399156763?tag=NYTBS-20,Clive Cussler with Grant Blackwood,"Sam and Remi Fargo, a husband-and-wife treasure-hunting team, pursue an important relic.",Putnam,LOST EMPIRE,5b4aa4ead3089013507dbb09,2010-09-19,2010-10-03,11,7,3,27.95
http://www.amazon.com/Her-Daughters-Dream-Martas-Legacy/dp/1414334095?tag=NYTBS-20,Francine Rivers,"Love between generations of women; the conclusion to ""Her Mother’s Hope.""",Tyndale House,HER DAUGHTER'S DREAM,5b4aa4ead3089013507dbb0a,2010-09-19,2010-10-03,12,0,1,24.99
http://www.amazon.com/A-Secret-Kept-Tatiana-Rosnay/dp/0312553498?tag=NYTBS-20,Tatiana de Rosnay,A family revelation upsets the life of a Parisian architect.,St. Martin’s,A SECRET KEPT,5b4aa4ead3089013507dbb0c,2010-09-19,2010-10-03,14,0,1,24.99
http://www.amazon.com/Zero-History-William-Gibson/dp/0399156828?tag=NYTBS-20,William Gibson,Several characters from “Spook Country” return to a viral marketing and coolhunting agency; from the author of “Pattern Recognition” and “Neuromancer.”,Putnam,ZERO HISTORY,5b4aa4ead3089013507dbb0d,2010-09-19,2010-10-03,15,9,2,26.95
http://www.amazon.com/Safe-Haven-Nicholas-Sparks/dp/044654759X?tag=NYTBS-20,Nicholas Sparks,The arrival of a mysterious young woman in a small North Carolina town raises questions about her past.,Grand Central,SAFE HAVEN,5b4aa4ead3089013507dbb14,2010-09-26,2010-10-10,2,1,2,25.99
http://www.amazon.com/Girl-Kicked-Hornets-Millennium-Trilogy/dp/030726999X?tag=NYTBS-20,Stieg Larsson,The third volume of a trilogy about a Swedish hacker and a journalist.,Knopf,THE GIRL WHO KICKED THE HORNET’S NEST,5b4aa4ead3089013507dbb15,2010-09-26,2010-10-10,3,4,18,27.95
http://www.amazon.com/Bad-Blood-Virgil-Flowers-novel/dp/0399156909?tag=NYTBS-20,John Sandford,Virgil Flowers is summoned to investigate a monstrous multigenerational conspiracy.,Putnam,BAD BLOOD,5b4aa4ead3089013507dbb16,2010-09-26,2010-10-10,4,0,1,27.95
http://www.amazon.com/Wicked-Appetite-Janet-Evanovich/dp/0312383355?tag=NYTBS-20,Janet Evanovich,A dangerous man needs Elizabeth Tucker’s help to find an ancient power source.,St. Martin’s,WICKED APPETITE,5b4aa4ead3089013507dbb18,2010-09-26,2010-10-10,6,3,2,27.99
http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20,Kathryn Stockett,A young white woman and two black maids in 1960s ­Mississippi.,Amy Einhorn/Putnam,THE HELP,5b4aa4ead3089013507dbb19,2010-09-26,2010-10-10,7,5,78,24.95
http://www.amazon.com/Fall-Strain-Trilogy-Guillermo-Toro/dp/0061558222?tag=NYTBS-20,Guillermo del Toro and Chuck Hogan,A war erupts between Old and New World vampires. Book 2 of the Strain trilogy.,Morrow/HarperCollins,THE FALL,5b4aa4ead3089013507dbb1a,2010-09-26,2010-10-10,8,0,1,26.99
http://www.amazon.com/Room-A-Novel-Emma-Donoghue/dp/0316098329?tag=NYTBS-20,Emma Donoghue,A mother’s prison is her young son’s entire world.,"Little, Brown",ROOM,5b4aa4ead3089013507dbb1b,2010-09-26,2010-10-10,9,10,2,24.99
http://www.amazon.com/Santa-Fe-Edge-Eagle-Novel/dp/0399156917?tag=NYTBS-20,Stuart Woods,A murder in a golfer’s hacienda brings Ed Eagle a new client.,Putnam,SANTA FE EDGE,5b4aa4ead3089013507dbb1c,2010-09-26,2010-10-10,10,0,1,25.95
http://www.amazon.com/Getting-Happy-Terry-McMillan/dp/0451233344?tag=NYTBS-20,Terry McMillan,"Revisiting the four women from “Waiting to Exhale,"" 15 years later.",Viking,GETTING TO HAPPY,5b4aa4ead3089013507dbb1d,2010-09-26,2010-10-10,11,6,3,27.95
