state,race,type,all_workers_n,artists_n,artists_share,location_quotient
Maine,White,Landscape Architects,658985,115,1.7451080070107818e-4,0.7167556075780228
Maryland,White,Landscape Architects,1690500,615,3.637976929902396e-4,1.494199988924188
Massachusetts,White,Landscape Architects,2791055,1055,3.7799326777867144e-4,1.5525044479692771
Michigan,White,Landscape Architects,3807850,480,1.2605538558504143e-4,0.5177381807917525
Minnesota,White,Landscape Architects,2524705,510,2.0200379846358287e-4,0.8296756115906083
Mississippi,White,Landscape Architects,787155,105,1.3339177163328695e-4,0.5478703893330699
Missouri,White,Landscape Architects,2479115,515,2.077354217129903e-4,0.853216693793161
Montana,White,Landscape Architects,472695,100,2.115529040924909e-4,0.8688959634506546
Nebraska,White,Landscape Architects,845465,75,8.870858048529508e-5,0.3643463455997356
Nevada,White,Landscape Architects,749805,85,1.133628076633258e-4,0.46560687222252606
New Hampshire,White,Landscape Architects,690940,145,2.098590326222248e-4,0.8619388475016577
New Jersey,White,Landscape Architects,2640925,620,2.347662277421737e-4,0.9642383710815357
New Mexico,White,Landscape Architects,374900,65,1.7337956788476927e-4,0.7121093767355288
New York,White,Landscape Architects,5774960,2225,3.8528405391552494e-4,1.582449367288013
North Carolina,White,Landscape Architects,3309215,465,1.405167086454038e-4,0.5771341285203224
North Dakota,White,Landscape Architects,363175,15,4.130240242307427e-5,0.1696383743828625
Ohio,White,Landscape Architects,4775955,510,1.0678492573736562e-4,0.4385900128792811
Oklahoma,White,Landscape Architects,1276415,140,1.0968219583756068e-4,0.4504897611048368
Oregon,White,Landscape Architects,1600140,395,2.4685340032747137e-4,1.0138831420382366
Pennsylvania,White,Landscape Architects,5161830,1225,2.3731893533882365e-4,0.9747229226225028
Rhode Island,White,Landscape Architects,423445,195,4.6050844855884473e-4,1.8914130902819708
South Carolina,White,Landscape Architects,1586190,390,2.4587218429065875e-4,1.0098530642791206
South Dakota,White,Landscape Architects,398225,40,1.004457279176345e-4,0.41255348352645593
Tennessee,White,Landscape Architects,2455855,430,1.7509177048319222e-4,0.719141782803228
Texas,White,Landscape Architects,6162190,1525,2.4747695218745285e-4,1.016444211556352
Utah,White,Landscape Architects,1227970,210,1.7101394985219508e-4,0.7023932446484401
Vermont,White,Landscape Architects,319270,85,2.6623234253139976e-4,1.0934768716973444
Virginia,White,Landscape Architects,2778485,655,2.3573998060093896e-4,0.9682377958684903
Washington,White,Landscape Architects,2668545,1035,3.878518068835264e-4,1.592995713596072
West Virginia,White,Landscape Architects,734535,105,1.4294757908064285e-4,0.5871182670879844
Wisconsin,White,Landscape Architects,2597700,450,1.7323016514609078e-4,0.7114957456576521
Wyoming,White,Landscape Architects,260685,0,NA,0
Puerto Rico,White,Landscape Architects,13370,0,NA,0
Alabama,African-American,Landscape Architects,581200,0,NA,0
Alaska,African-American,Landscape Architects,13760,0,NA,0
Arizona,African-American,Landscape Architects,152575,0,NA,0
Arkansas,African-American,Landscape Architects,200385,0,NA,0
California,African-American,Landscape Architects,1066265,65,6.096045542149466e-5,1.6166700420931313
Colorado,African-American,Landscape Architects,118415,0,NA,0
Connecticut,African-American,Landscape Architects,191785,0,NA,0
Delaware,African-American,Landscape Architects,105485,0,NA,0
District of Columbia,African-American,Landscape Architects,149480,0,NA,0
Florida,African-American,Landscape Architects,1569980,0,NA,0
Georgia,African-American,Landscape Architects,1613775,0,NA,0
Hawaii,African-American,Landscape Architects,16455,0,NA,0
Idaho,African-American,Landscape Architects,5195,0,NA,0
Illinois,African-American,Landscape Architects,848255,0,NA,0
Indiana,African-American,Landscape Architects,292355,0,NA,0
Iowa,African-American,Landscape Architects,56060,0,NA,0
Kansas,African-American,Landscape Architects,83690,0,NA,0
Kentucky,African-American,Landscape Architects,176080,0,NA,0
Louisiana,African-American,Landscape Architects,656860,0,NA,0
Maine,African-American,Landscape Architects,8410,0,NA,0
Maryland,African-American,Landscape Architects,957780,120,1.2528973250642113e-4,3.322681166413548
Massachusetts,African-American,Landscape Architects,260415,0,NA,0
Michigan,African-American,Landscape Architects,624375,105,1.6816816816816817e-4,4.4598164110056
Minnesota,African-American,Landscape Architects,171180,0,NA,0
Mississippi,African-American,Landscape Architects,488460,0,NA,0
Missouri,African-American,Landscape Architects,340530,0,NA,0
Montana,African-American,Landscape Architects,2855,0,NA,0
Nebraska,African-American,Landscape Architects,45795,0,NA,0
Nevada,African-American,Landscape Architects,125635,0,NA,0
New Hampshire,African-American,Landscape Architects,9675,0,NA,0
New Jersey,African-American,Landscape Architects,584190,0,NA,0
New Mexico,African-American,Landscape Architects,19190,0,NA,0
New York,African-American,Landscape Architects,1375735,130,9.44949427033549e-5,2.506003965054945
North Carolina,African-American,Landscape Architects,1079195,0,NA,0
North Dakota,African-American,Landscape Architects,12445,0,NA,0
Ohio,African-American,Landscape Architects,680665,0,NA,0
Oklahoma,African-American,Landscape Architects,134195,0,NA,0
Oregon,African-American,Landscape Architects,39020,0,NA,0
Pennsylvania,African-American,Landscape Architects,636035,0,NA,0
Rhode Island,African-American,Landscape Architects,31000,0,NA,0
South Carolina,African-American,Landscape Architects,638810,0,NA,0
South Dakota,African-American,Landscape Architects,8670,0,NA,0
Tennessee,African-American,Landscape Architects,554550,0,NA,0
Texas,African-American,Landscape Architects,1699445,65,3.824778089317395e-5,1.0143303739941172
Utah,African-American,Landscape Architects,16855,0,NA,0
Vermont,African-American,Landscape Architects,4210,0,NA,0
Virginia,African-American,Landscape Architects,837445,80,9.55286615837458e-5,2.533418168809149
Washington,African-American,Landscape Architects,147305,0,NA,0
West Virginia,African-American,Landscape Architects,29055,0,NA,0
Wisconsin,African-American,Landscape Architects,160610,0,NA,0
Wyoming,African-American,Landscape Architects,2975,0,NA,0
